size,Triton (GB/s),Torch (GB/s)
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,96.000000,96.000000
65536.000000,153.600004,153.600004
131072.000000,219.428568,219.428568
262144.000000,384.000001,384.000001
524288.000000,511.999982,558.545450
1048576.000000,682.666643,722.823517
2097152.000000,744.727267,722.823517
4194304.000000,805.770507,819.200021
8388608.000000,869.946888,869.946888
16777216.000000,906.027677,906.027677
33554432.000000,926.337988,927.396231
67108864.000000,938.463032,938.463032
134217728.000000,941.834715,942.399030
