N,Triton (GB/s),Torch (GB/s)
256.000000,650.936959,675.447196
384.000000,644.286351,752.925705
512.000000,631.626314,835.202688
640.000000,573.149366,804.911623
768.000000,740.684381,837.591470
896.000000,760.050226,797.737758
1024.000000,750.380184,796.969947
1152.000000,759.645396,749.225323
1280.000000,778.926130,764.756267
1408.000000,768.189754,776.277538
1536.000000,778.967556,784.663881
1664.000000,782.862348,792.205166
1792.000000,785.156972,803.579340
1920.000000,796.869056,785.158203
2048.000000,803.740218,787.675502
2176.000000,788.814703,840.960792
2304.000000,792.808248,854.999219
2432.000000,814.126688,880.788507
2560.000000,822.407571,885.239522
2688.000000,818.165125,886.767216
2816.000000,826.658223,895.366813
2944.000000,832.728726,905.250739
3072.000000,830.622998,907.116256
3200.000000,841.453321,914.595931
3328.000000,829.780144,895.846182
3456.000000,831.259774,904.691624
3584.000000,838.029940,915.943413
3712.000000,842.568501,891.724066
3840.000000,847.238529,915.363702
3968.000000,852.922354,923.993054
4096.000000,853.680095,922.137375
4224.000000,847.612581,916.530679
4352.000000,854.544196,917.427901
4480.000000,855.428039,920.133790
4608.000000,852.064896,919.598080
4736.000000,857.449077,911.727752
4864.000000,857.441715,905.901785
4992.000000,864.543704,913.387830
5120.000000,864.432285,915.081736
5248.000000,843.943697,890.387319
5376.000000,867.855445,915.448846
5504.000000,866.470247,919.666444
5632.000000,868.256285,925.889477
5760.000000,870.615873,924.132484
5888.000000,871.327379,925.415642
6016.000000,874.916740,928.105492
6144.000000,875.798478,925.882772
6272.000000,877.598588,925.448269
6400.000000,881.043548,922.835861
6528.000000,877.258275,928.195016
6656.000000,877.318865,926.294144
6784.000000,881.664670,928.338060
6912.000000,880.399457,926.769573
7040.000000,881.206724,920.617710
7168.000000,887.187027,926.834848
7296.000000,888.228196,919.866576
7424.000000,890.778729,879.230229
7552.000000,861.749132,924.464185
7680.000000,889.683738,930.771816
7808.000000,890.708443,929.791104
7936.000000,892.322810,927.790923
8064.000000,887.907638,930.083924
8192.000000,892.880590,928.305397
8320.000000,878.151913,928.859636
8448.000000,876.700979,927.817510
8576.000000,881.648313,929.387897
8704.000000,879.000335,923.729249
8832.000000,877.357894,926.081279
8960.000000,881.887437,928.111232
9088.000000,883.989593,918.997718
9216.000000,881.127024,924.593772
9344.000000,856.288745,896.865065
9472.000000,884.278099,929.297564
9600.000000,884.092384,929.154727
9728.000000,884.221451,930.890604
9856.000000,885.097612,929.883904
9984.000000,887.529476,930.498564
10112.000000,885.015577,931.244831
10240.000000,886.444216,930.673322
10368.000000,886.280719,929.895011
10496.000000,888.755322,930.293584
10624.000000,888.860531,930.178565
10752.000000,889.695578,930.182048
10880.000000,890.374131,931.285887
11008.000000,891.482829,888.356599
11136.000000,869.824466,928.933860
11264.000000,892.048200,929.940256
11392.000000,892.916647,931.067032
11520.000000,891.196715,933.442654
11648.000000,894.031232,930.708991
11776.000000,894.581445,933.150212
11904.000000,894.494087,931.949779
12032.000000,894.445744,933.859048
12160.000000,895.351591,930.990941
12288.000000,890.937259,929.934119
12416.000000,896.004834,932.090242
12544.000000,894.839733,931.838817
12672.000000,896.023594,888.308968
